Comment,Designator,Footprint,LCSC
SW_Push_45deg,SW11,SW_Cherry_MX_PCB_1.00u,
MountingHole,H2,MountingHole_3.2mm_M3_DIN965,
SW_Push_45deg,SW21,SW_Cherry_MX_PCB_1.00u,
SW_Push_45deg,SW17,SW_Cherry_MX_PCB_1.00u,
SW_Push_45deg,SW4,SW_Cherry_MX_PCB_1.00u,
SW_Push_45deg,SW14,SW_Cherry_MX_PCB_1.00u,
MountingHole,H4,MountingHole_3.2mm_M3_DIN965,
SW_Push_45deg,SW6,SW_Cherry_MX_PCB_1.00u,
MountingHole,H1,MountingHole_3.2mm_M3_DIN965,
SW_Push_45deg,SW18,SW_Cherry_MX_PCB_1.00u,
SW_Push_45deg,SW19,SW_Cherry_MX_PCB_1.00u,
SW_Push_45deg,SW16,SW_Cherry_MX_PCB_1.00u,
SW_Push_45deg,SW15,SW_Cherry_MX_PCB_1.00u,
SW_Push_45deg,SW9,SW_Cherry_MX_PCB_1.00u,
SW_Push_45deg,SW13,SW_Cherry_MX_PCB_1.00u,
SW_Push_45deg,SW2,SW_Cherry_MX_PCB_1.00u,
SW_Push_45deg,SW8,SW_Cherry_MX_PCB_1.00u,
SW_Push_45deg,SW5,SW_Cherry_MX_PCB_1.00u,
SW_Push_45deg,SW1,SW_Cherry_MX_PCB_1.00u,
SW_Push_45deg,SW7,SW_Cherry_MX_PCB_1.00u,
SW_Push_45deg,SW12,SW_Cherry_MX_PCB_1.00u,
SW_Push_45deg,SW23,SW_Cherry_MX_PCB_1.00u,
SW_Push_45deg,SW20,SW_Cherry_MX_PCB_1.00u,
SW_Push_45deg,SW3,SW_Cherry_MX_PCB_1.00u,
SW_Push_45deg,SW10,SW_Cherry_MX_PCB_1.00u,
MountingHole,H3,MountingHole_3.2mm_M3_DIN965,
SW_Push_45deg,SW22,SW_Cherry_MX_PCB_1.00u,
8pF,C1,C_Disc_D3.0mm_W1.6mm_P2.50mm,
Conn_01x04,J1,PinHeader_1x04_P2.54mm_Vertical,
100nF,C7,C_Disc_D3.0mm_W1.6mm_P2.50mm,
SW_Push,SW24,SW_Tactile_SPST_Angled_PTS645Vx31-2LFS,
SW_Push,SW25,SW_PUSH_6mm,
10k,R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
100nF,C9,C_Disc_D3.0mm_W1.6mm_P2.50mm,
16MHz,Y1,Crystal_HC52-6mm_Vertical,
22R,R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
100nF,C8,C_Disc_D3.0mm_W1.6mm_P2.50mm,
100nF,C6,C_Disc_D3.0mm_W1.6mm_P2.50mm,
ATmega32U4-A,U1,TQFP-44_10x10mm_P0.8mm,
100nF,C5,C_Disc_D3.0mm_W1.6mm_P2.50mm,
100nF,C4,C_Disc_D3.0mm_W1.6mm_P2.50mm,
22R,R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
10k,R4,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
8pF,C2,C_Disc_D3.0mm_W1.6mm_P2.50mm,
1µF,C3,C_Disc_D3.0mm_W1.6mm_P2.50mm,
