Comment,Designator,Footprint,LCSC
Y-10,SW11,SW_Cherry_MX_PCB_1.00u,
MountingHole,H2,MountingHole_3.2mm_M3_DIN965,
HOME Y,SW21,SW_Cherry_MX_PCB_1.00u,
Z-1,SW17,SW_Cherry_MX_PCB_1.00u,
X-100,SW4,SW_Cherry_MX_PCB_1.00u,
Z+1,SW14,SW_Cherry_MX_PCB_1.00u,
MountingHole,H4,MountingHole_3.2mm_M3_DIN965,
MountingHole,H1,MountingHole_3.2mm_M3_DIN965,
Z-10,SW18,SW_Cherry_MX_PCB_1.00u,
HOME,SW19,SW_Cherry_MX_PCB_1.00u,
Z-0.1,SW16,SW_Cherry_MX_PCB_1.00u,
Z+0.1,SW15,SW_Cherry_MX_PCB_1.00u,
Y+1,SW9,SW_Cherry_MX_PCB_1.00u,
Z+10,SW13,SW_Cherry_MX_PCB_1.00u,
X+10,SW2,SW_Cherry_MX_PCB_1.00u,
Y+10,SW8,SW_Cherry_MX_PCB_1.00u,
X-10,SW5,SW_Cherry_MX_PCB_1.00u,
X+100,SW1,SW_Cherry_MX_PCB_1.00u,
Y+100,SW7,SW_Cherry_MX_PCB_1.00u,
Y-100,SW12,SW_Cherry_MX_PCB_1.00u,
HOME Z,SW23,SW_Cherry_MX_PCB_1.00u,
HOME X,SW20,SW_Cherry_MX_PCB_1.00u,
X+1,SW3,SW_Cherry_MX_PCB_1.00u,
Y-1,SW10,SW_Cherry_MX_PCB_1.00u,
MountingHole,H3,MountingHole_3.2mm_M3_DIN965,
HOME XY,SW22,SW_Cherry_MX_PCB_1.00u,
Pico,U1,RPi_Pico_SMD_TH,
