Comment,Designator,Footprint,LCSC
HOME Y,SW21,SW_PUSH_6mm,
HOME X,SW20,SW_PUSH_6mm,
HOME XY,SW22,SW_PUSH_6mm,
MountingHole,H2,MountingHole_3.2mm_M3_DIN965,
X-1,SW4,SW_PUSH_6mm,
Y-100,SW12,SW_PUSH_6mm,
Z-0.1,SW16,SW_PUSH_6mm,
HOME,SW19,SW_PUSH_6mm,
X+100,SW1,SW_PUSH_6mm,
HOME Z,SW23,SW_PUSH_6mm,
Y-1,SW10,SW_PUSH_6mm,
Y+100,SW7,SW_PUSH_6mm,
MountingHole,H4,MountingHole_3.2mm_M3_DIN965,
Y+10,SW8,SW_PUSH_6mm,
MountingHole,H1,MountingHole_3.2mm_M3_DIN965,
X+10,SW2,SW_PUSH_6mm,
X+1,SW3,SW_PUSH_6mm,
Z-10,SW18,SW_PUSH_6mm,
Y+1,SW9,SW_PUSH_6mm,
X-10,SW5,SW_PUSH_6mm,
Y-10,SW11,SW_PUSH_6mm,
Z+10,SW13,SW_PUSH_6mm,
X-100,SW6,SW_PUSH_6mm,
MountingHole,H3,MountingHole_3.2mm_M3_DIN965,
Z-1,SW17,SW_PUSH_6mm,
Z+0.1,SW15,SW_PUSH_6mm,
Z+1,SW14,SW_PUSH_6mm,
Pico,U1,RPi_Pico_SMD_TH,
